data,EPU,IEM,INC,ICCFEC,ICCFGV
2012-10-01,104.0494232,94.67548841,0.382647755,161.38,108.4
2012-11-01,102.3488617,94.00271648,0.339549678,159.69,106.3
2012-12-01,76.76616669,96.1495764,0.317362147,161.81,106.1
2013-01-01,164.3462372,95.96837411,0.305090231,160.6,106.7
2013-02-01,69.93822479,90.90668539,0.312381392,165.8,104.6
2013-03-01,205.7545013,91.19045506,0.332413026,159.96,101.4
2013-04-01,130.4967651,91.91371787,0.361542855,155.62,102.2
2013-05-01,145.1582336,92.41813886,0.395013424,145.97,102
2013-06-01,131.4640656,95.93870083,0.360246304,145.04,101.6
2013-07-01,162.3981171,95.474896,0.388152026,136.73,98.3
2013-08-01,187.2889709,91.04634477,0.405083731,133,101.8
2013-09-01,126.5808182,94.44605277,0.478001706,136.7,102.9
2013-10-01,108.8032913,92.98177127,0.429234158,139.2,101.5
2013-11-01,106.0886917,89.31836069,0.466633755,138,102.5
2013-12-01,116.3469467,88.61329874,0.483754638,136.6,101.3
2014-01-01,136.6474304,91.31529241,0.47428601,131.7,98.9
2014-02-01,170.0154114,95.97224078,0.492275323,136.4,97.3
2014-03-01,251.1715546,97.51527999,0.462563153,125.78,96.1
2014-04-01,150.5235901,94.77380866,0.472654233,120.25,96.3
2014-05-01,97.17090607,87.8787147,0.501310693,109.48,92.5
2014-06-01,76.95014954,92.55809298,0.531213766,107.37,92.9
2014-07-01,114.6071777,88.96304533,0.536164772,109.55,93.5
2014-08-01,168.4329071,95.64907657,0.47485405,110.54,91.7
2014-09-01,198.7192993,97.28631612,0.45648322,118.92,93.4
2014-10-01,91.75434113,97.89877358,0.408659681,115.82,92.3
2014-11-01,142.0146942,100.0096778,0.399933459,115.99,86
2014-12-01,185.6092224,99.54468,0.440144358,112.95,86.4
2015-01-01,193.9933777,102.716724,0.474620875,112.69,80.6
2015-02-01,302.9389343,99.68947194,0.446558499,112.89,76.9
2015-03-01,317.2683411,109.1212662,0.527470994,106.86,74.2
2015-04-01,211.5162964,102.3882233,0.594889717,101.56,75.2
2015-05-01,146.3652496,104.1763246,0.666681744,91.77,74.8
2015-06-01,101.2318115,105.3630993,0.767602494,90.58,74.3
2015-07-01,182.9708557,120.2860418,0.720502163,84.55,70.5
2015-08-01,291.7728271,129.8226586,0.578966631,84.66,69.7
2015-09-01,457.0996704,137.5157997,0.551204385,85.53,64.9
2015-10-01,297.0511169,120.165126,0.598878289,88.77,65.5
2015-11-01,164.9832306,112.1032061,0.687240644,85.55,65.8
2015-12-01,330.6095276,115.4457164,0.704696722,87.17,64.6
2016-01-01,306.6892395,112.2554981,0.707742311,89.04,66.9
2016-02-01,224.2444611,114.0086335,0.682813933,95.23,69.1
2016-03-01,420.9589233,120.9466121,0.659618004,89.31,66.1
2016-04-01,473.5259094,124.575817,0.589530699,87.68,64.5
2016-05-01,221.3032837,118.6954324,0.612504352,90.85,69
2016-06-01,294.4795227,117.2674699,0.596735242,98.05,72.9
2016-07-01,326.6337891,115.3223974,0.487279134,97.67,76.8
2016-08-01,251.6847382,111.3821063,0.454186655,100.05,79.9
2016-09-01,250.0245514,111.2879857,0.459351863,106.95,80.7
2016-10-01,149.3662415,114.3596947,0.458609079,105.98,81.3
2016-11-01,365.7530823,118.2308882,0.427800883,110.3,78.3
2016-12-01,422.5247803,127.201658,0.477479117,110.73,73.4
2017-01-01,330.9284668,116.8400574,0.498967454,102.25,79.3
2017-02-01,371.6051331,108.8923504,0.550837021,113.8,81.5
2017-03-01,676.9550171,112.8769798,0.557939612,109.38,83.9
2017-04-01,550.1685791,110.83735,0.598956115,109.01,81.8
2017-05-01,407.8592529,119.5369284,0.516290155,103.49,83.7
2017-06-01,230.9700165,126.5401508,0.505211383,100.06,83
2017-07-01,267.1994019,120.4147765,0.468364327,104.78,82.4
2017-08-01,309.670929,113.2412323,0.485301574,101.48,81.7
2017-09-01,326.5149536,106.1900275,0.45724403,99.67,83.9
2017-10-01,190.5667267,104.7452603,0.394313832,102.81,85.6
2017-11-01,279.8699646,105.475189,0.325455005,103.96,87.4
2017-12-01,215.5720215,108.3958713,0.348091521,109.46,87.2
